,Product_Name,Publisher,Writer,Previous_Price,Discount,Current_Price,Gain,Kind,Page,ISBN,Cover
854,Deliliğin Dağlarında,İthaki Yayınları,Howard Phillips Lovecraft,"20,00",%36 indirim,"12,80","7,20",Amerikan Edebiyatı,132,9786053758419,Ciltsiz
855,Bir Noel Şarkısı,İthaki Yayınları,Charles Dickens,"15,00",%36 indirim,"9,60","5,40",Diğer Ülke Edebiyatları Kitapları,144,9786053758402,Ciltsiz
856,Yalnızlık Psikolojisi,Timaş Yayınları,Zehra Erol,"20,00",%40 indirim,"12,00","8,00",Genel Psikoloji Kitapları,144,9786050828740,Ciltsiz
857,Ötekilerin Fotoğrafçısı,Everest Yayınları,Patricia Bosworth,"37,00",%35 indirim,"24,05","12,95",Roman,504,9786051852904,Ciltsiz
858,Çin 2,Alfa Yayınları,Yüksel Görmez,"27,00",%35 indirim,"17,55","9,45",Gezi Rehberi Kitapları,326,9786051717876,Ciltsiz
859,Japonya 2,Alfa Yayınları,Yüksel Görmez,"27,00",%35 indirim,"17,55","9,45",Gezi Rehberi Kitapları,304,9786051717869,Ciltsiz
860,Son İstasyon,Alfa Yayınları,Jay Parini,"26,00",%35 indirim,"16,90","9,10",Roman,320,9786051717753,Ciltsiz
861,Cici Karar Veremiyor Ama Verebilir,Artemis Yayınları,Tuba Şamlı Atilla,"22,00",%35 indirim,"14,30","7,70",Hikayeler,40,9786053043560,Ciltsiz
862,Mitoloji Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%31 indirim,"13,80","6,20",Akademik Kitaplar,168,9786052690239,Ciltsiz
863,Hürrem Sultan,Yediveren Yayınları,M. Turhan Tan,"34,00",%31 indirim,"23,46","10,54",Roman,496,9786052690222,Ciltsiz
864,Cem Sultan,Yediveren Yayınları,M. Turhan Tan,"30,00",%31 indirim,"20,70","9,30",Roman,416,9786052690208,Ciltsiz
865,Psikoloji Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%41 indirim,"11,80","8,20",Genel Psikoloji Kitapları,200,9786052690215,Ciltsiz
866,Osmanlı Tarihi Sözlüğü,Yediveren Yayınları,Ahmet Murat Seyrek,"20,00",%31 indirim,"13,80","6,20",Akademik Kitaplar,232,9786052690246,Ciltsiz
867,Küçük Prens - Artemis Yayınları,Artemis Yayınları,Antoine de Saint-Exupery,"32,00",%35 indirim,"20,80","11,20",Roman-Öykü Kitapları,100,9786053043072,Ciltli
868,Tweety! ve Koko'nun Kutup Macerası,Artemis Yayınları,Melissa J. Suber,"16,00",%35 indirim,"10,40","5,60",Roman-Öykü Kitapları,28,9786051428987,Ciltsiz
869,Her Yerde Müslümanca,Mevsimler Kitap,Servet Çelenk,"11,04",%20 indirim,"8,83","2,21",Denemeler,144,9786059275965,Ciltsiz
870,Haşhaş Denizi,Alfa Yayınları,Amitav Ghosh,"37,00",%35 indirim,"24,05","12,95",Roman,592,9786051717968,Ciltsiz
871,Yabancılar İçin Kitle İletişim ve Basın Türkçesi,Mevsimler Kitap,Hüseyin Polat,"35,00",%20 indirim,"28,00","7,00",Diğer Eğitim Kitapları,256,9786059275972,Ciltsiz
872,Karanlık Kalp,Nemesis Kitap,Sarah Maclean,"32,50",%40 indirim,"19,50","13,00",Roman,456,9786052164273,Ciltsiz
873,Çalıştır Saksıyı,Domingo Yayınevi,Carlo Carzan,"25,00",%35 indirim,"16,25","8,75",Çocuk Referans Kitapları,96,9786051980454,Ciltsiz
874,Hayaletlerin Anatomisi,Artemis Yayınları,Andrew Taylor,"34,00",%35 indirim,"22,10","11,90",Roman,465,9786053043553,Ciltsiz
875,Denizden Yansıyan,Everest Yayınları,Joseph Conrad,"26,00",%35 indirim,"16,90","9,10",Klasik Kitaplar,285,9786051852874,Ciltsiz
876,Zamanımızın Bir Kahramanı,İthaki Yayınları,Mihail Yuryeviç Lermontov,"24,00",%36 indirim,"15,36","8,64",Roman,232,9786053758396,Ciltsiz
